,company_id,report_key,total_cnt,view_cnt,comment_cnt,positive_cnt,negative_cnt,news_cnt,mblog_cnt,blog_cnt,twitter_cnt,qq_cnt,weichat_cnt,video_cnt,finance_cnt,govt_cnt,company_cnt,headline_cnt,cluster
108,000951,201101,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
109,000951,201203,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
110,000951,201608,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
111,000951,201609,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
112,000951,201701,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
113,000951,201702,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
114,000951,201705,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
115,000951,201712,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
116,000951,201802,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5
117,000951,201803,10,0,0,7,1,0,10,0,0,0,0,0,0,0,0,0,5
118,000951,201804,22,0,5,15,3,1,21,0,0,0,0,0,0,0,0,0,5
119,000951,201805,297,6113,25,279,11,180,53,3,0,0,56,0,8,0,3,56,5
120,000951,201806,188,990,10,173,8,92,37,2,0,0,50,0,2,1,1,50,5
121,000951,201807,445,76738,483,418,23,329,31,0,0,0,69,0,56,3,12,69,5
122,000951,201808,100,4740,47,97,0,53,13,0,0,0,27,0,9,1,4,27,5
123,002193,201805,25,0,0,25,0,21,0,0,0,0,3,0,2,0,1,3,5
124,002193,201806,52,4173,0,52,0,31,5,0,0,0,15,0,17,0,0,15,5
125,002193,201807,108,3127,42,106,0,75,9,0,0,0,20,0,4,0,0,20,5
126,002193,201808,35,1767,6,35,0,25,1,0,0,0,2,0,5,0,1,2,5
127,002237,201804,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,5
128,002237,201805,5,0,0,5,0,4,0,0,0,0,0,0,2,0,0,0,5
129,002237,201806,12,0,1,12,0,9,0,0,0,0,1,0,5,0,0,1,5
130,002237,201807,95,7222,28,95,0,80,8,0,0,0,5,0,0,0,0,5,5
131,002237,201808,10,229,0,10,0,6,0,0,0,0,2,0,2,0,1,2,5
132,002241,200906,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,5
133,002241,201412,1,0,89,1,0,1,0,0,0,0,0,0,0,0,0,0,5
134,002241,201601,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,5
135,002241,201605,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
136,002241,201606,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
137,002241,201608,3,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,5
138,002241,201609,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,5
139,002241,201610,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
140,002241,201611,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,5
141,002241,201612,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,5
142,002241,201701,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
143,002241,201702,3,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,5
